"id","country","type","revenue","ProductServices"
"Acosta, Campbell and Leblanc","Lumakari","Entity.Organization.LogisticsCompany",14667942.4,"Operates tramp vessels for transporting various bulk cargoes, such as grain, coal, iron ore, etc. Ranging from 60,000 DWT to 80,000 DWT; and tramp (handymax) vessels for transporting fertilizers, as well iron ore, salt, grain, coal, and silica sand; Operates a fleet of four VLCCs and two crude tankers; seven MRs and two chemical tankers for transporting gasoline, gas oil, naphtha, methanol, and palm oils; and tramp (cape) vessels for the transportation of dry cargoes, including coal and iron ore with capacities ranging from 100,000 DWT to 200,000 DWT; Offers transportation services with bulk cargoes, cement, iron ore, coal, scrap, petcoke, sulphur, and hbi; sugar transportation; and conventional liner services throughout various ports and countries, as well as heavy-lift services; Provides dangerous and over-sized cargo services"
"Acosta, Fields and Moore","Valtalmo","Entity.Organization.FishingCompany",27754.69,"Seafood frozen"
"Acosta-Buchanan","Oceanus","Entity.Organization.Company",120666.67,"Offers a wide selection of grocery products, including fresh produce, cheese, milk and eggs, fresh and frozen beef and veal, fresh and frozen pork and lamb, fresh and frozen poultry, fresh and frozen poultry, fresh and frozen seafood, fruit salad, prepared salads, hors d' oeuvres, coffee, tea, hot chocolate, frozen juice, can/bottle juice and water soda; Wholesales bread, pizza, pizza dough, cakes, cookie, pastries, pies, dessert mixes, dry pasta, frozen pasta, canned soup, canned potatoes, French fries, hashbrowns, pot pancake, dry potato mixes, baking supplies, bar supplies, condiments, cereal, dressings, canned fish, sauces, glazes, oils, shortening, pickles, olives, rice, beans, snack food, spices, alum pans, foils, bags, cleaning supply, detergents, cups, lids, disposables, equipment, plates, trays, bowls, towels, napkins, tissue, and waxes and film"
"Acosta-Flores","Mawalara","Entity.Organization.FishingCompany",24766.67,"Fish and seafood products"
"Adams LLC","Lumakari","Entity.Organization.Company",6720618.68,"Steel products"
"Adams and Sons","Mawandia","Entity.Organization.Company",73027.09,"Fisheries products"
"Adams, Cole and Waters","Oceanus","Entity.Organization.Company",5728.12,"Unknown"
"Adams, Hall and Thompson","Mawalara","Entity.Organization.Company",7236.04,"Unknown"
"Adams, Hernandez and Butler","Imazam","Entity.Organization.Company",6560.38,"Unknown"
"Adams, Jordan and Lynch","Lumakari","Entity.Organization.Company",5116.67,"Unknown"
"Adams, Stephens and Smith","Novarctica","Entity.Organization.Company",21228.49,"Unknown"
"Adams-Byrd","Nalakond","Entity.Organization.Company",147539.81,"Offers a wide range of products that include beverages, fruits and vegetables, dairy and ice cream products, frozen food products, meat and meat products, dry groceries, bakery products, salad dressings and other related products"
"Adams-Friedman","Azurionix","Entity.Organization.Company",4666.67,"Unknown"
"Adams-Hall","Oceanus","Entity.Organization.Company",4906.67,"Unknown"
"Adams-Hernandez","Oceanus","Entity.Organization.Company",6612.37,"Unknown"
"Adams-Lewis","Oceanus","Entity.Organization.Company",11666.67,"Unknown"
"Adams-Nguyen","Mawalara","Entity.Organization.Company",7018.67,"Unknown"
"Adkins LLC","Imazam","Entity.Organization.FishingCompany",35988.71,"Preparation and packaging seafoods (Gathering and canning seafood, smoking, salting, and drying seafood, eviscerating fresh fish by removing heads, fins, scales, bones, and entrails, shucking and packing fresh shellfish, processing marine fats and oils and freezing seafood)"
"Adkins Ltd","Nalakond","Entity.Organization.FishingCompany",41274.58,"Seafood products"
"Adkins PLC","Mawalara","Entity.Organization.Company",7314.34,"Unknown"
"Adkins, Duncan and Thompson","Mawalara","Entity.Organization.Company",5780.52,"Unknown"
"Adkins, Jones and Dickson","Uzifrica","Entity.Organization.Company",262347.88,"Optical media"
"Adkins-Lawrence","Imazam","Entity.Organization.LogisticsCompany",67088.64,"Distribution of a general line of fish and seafoods, such as fresh shellfish, crustaceans and molluscs, fresh and frozen fillets"
"AguaLeska Transit N.V.","Oceanus","Entity.Organization.FishingCompany",49556.34,"Fish and seafood products"
"Aguilar Group","Oceanus","Entity.Organization.Company",10882.06,"Industrial equipment and machinery"
"Aguilar and Sons","Mawalara","Entity.Organization.Company",8370.7,"Unknown"
"Aguilar-Johnson","Mawalara","Entity.Organization.Company",4766.67,"Unknown"
"Aguilar-Martin","Oceanus","Entity.Organization.Company",4796.67,"Unknown"
"Aguilar-Rogers","Mawalara","Entity.Organization.Company",647149.98,"Industrial inorganic chemicals and allied products"
"Aguilar-Williams","Imazam","Entity.Organization.Company",129154.47,"Vannamei and Black tiger shrimp"
"Aguirre LLC","Oceanus","Entity.Organization.Company",15266.67,"Unknown"
"Aguirre-Anderson","Mawalara","Entity.Organization.Company",13736.67,"Tasselled bookmarks, greeting cards, giftwrappers, doorknob hangers, paper bags, assorted activity/prayer packs, seed packets, planners and calendars, CD holder, square memo pads & jute strung writing pads, half pads, handmade paper making kit, notebooks, small notebooks, small colored notebooks, journal notebooks, spiral notebooks, posters, colored posters, stickers, theme books, stationery, invitations, gift cards and calling cards, scrapbooks, scrapbook materials & craft cuts"
"Aguirre-Bennett","Nalakond","Entity.Organization.Company",21737.01,"Pigskin and beefskin gelatin"
"Aguirre-Golden","Isla Solmar","Entity.Organization.Company",125262.6,"Stain removers, adhesives, detergents, household dyes, disinfectants, polish, air-fresheners, and skin care products"
"Alexander Inc","Mawalara","Entity.Organization.FishingCompany",4669.55,"Canning, processing and manufacturing of seafood and other aquatic products"
"Alexander, Duran and Benton","Oceanus","Entity.Organization.Company",14266.67,"Unknown"
"Alexander, Harris and Rhodes","Wysterion","Entity.Organization.Company",7557.91,"Unknown"
"Alexander, Richmond and Franklin","Mawalara","Entity.Organization.Company",9725.66,"Unknown"
"Alexander, Vincent and Pacheco","Oceanus","Entity.Organization.Company",12513.54,"Unknown"
"Alexander-Kennedy","Mawalara","Entity.Organization.Company",5178.96,"Unknown"
"Alexander-Owens","Mawalara","Entity.Organization.Company",16040.15,"Unknown"
"Alexander-Wagner","Mawalara","Entity.Organization.Company",8296.67,"Unknown"
"Ali, Lin and Morris","Oceanus","Entity.Organization.Company",17066.67,"Unknown"
"Ali-Collins","Oceanus","Entity.Organization.Company",6858.85,"Unknown"
"Allen Group","Osterivaria","Entity.Organization.Company",42766.67,"Inflatable boats"
"Allen Inc","Oceanus","Entity.Organization.Company",12743.79,"Unknown"
"Allen Ltd","Oceanus","Entity.Organization.Company",23131.91,"Unknown"
"Allen and Sons","Mawalara","Entity.Organization.Company",24366.67,"Clothing apparel and accessories"
"Allen, Bauer and Gill","Mawalara","Entity.Organization.Company",138594.83,"Electronic and electrical wire and cable products"
"Allen, Chang and Ellis","Mawalara","Entity.Organization.Company",22366.67,"Specialises in a wide range of nondurable goods, including furniture and home furnishings; computers and peripheral equipment; electronic and optical equipment; industrial machinery and equipment; office supplies; packaging and containers; and paper and paper products; Offers other nondurable goods, such as personal products, rubber products, plastic products, textile raw materials, agricultural raw materials, clothing and footwear, and other semi finished goods"
"Allen, Edwards and Jones","Oceanus","Entity.Organization.Company",22366.67,"Unknown"
"Allen, Hunt and Lyons","Mawalara","Entity.Organization.Company",23566.67,"Footwear"
"Allen, Jacobson and Owen","Oceanus","Entity.Organization.Company",14054.8,"Unknown"
"Allen, Lewis and Mullins","Imazam","Entity.Organization.Company",8106.66,"Unknown"
"Allen, Mcfarland and Avila","Oceanus","Entity.Organization.FinancialCompany",91222.07,"Covers financing casino expansions, hotel expansions, and gaming equipment; offers capital for casino renovation, or facility maintenance and improvement; and provides debt and equity capital for financial restructuring; Offers market assessment, project development, design, construction coordination, equipment installation, and management services"
"Allen, Miller and Davenport","Quirinelle","Entity.Organization.Company",404585.82,"Battery chargers and power supplies"
"Allen, Nash and Meadows","Oceanus","Entity.Organization.Company",5186.67,"Unknown"
"Allen, Nichols and Thompson","Mawalara","Entity.Organization.Company",12846.67,"Frozen fish and food products"
"Allen, Olson and Ortiz","Oceanus","Entity.Organization.FishingCompany",17066.67,"Seafoods and other related products"
"Allen, Russell and Maldonado","Azurionix","Entity.Organization.Company",4714.09,"Unknown"
"Allen, Smith and Zamora","Novarctica","Entity.Organization.Company",11506.67,"Agricultural and forestry machinery"
"Allen, Soto and Anderson","Uzifrica","Entity.Organization.FishingCompany",65066.67,"Frozen seafood"
"Allen, Stewart and Nichols","Mawalara","Entity.Organization.LogisticsCompany",22926.59,"Marine fender, rubber fender, anchor chain, cargo lashing chain, rigging, web slings, welding processing, container lashing and securing fittings, anchor, and dock rubber fender"
"Allen, Villa and Allen","Galduzim","Entity.Organization.Company",20788.89,"Fish and sea food products"
"Allen-Beltran","Oceanus","Entity.Organization.Company",24566.67,"Unknown"
"Allen-Flores","Mawalara","Entity.Organization.Company",10916.67,"Unknown"
"Allen-Jackson","Marifada","Entity.Organization.Company",10286.67,"Unknown"
"Allen-Jennings","Oceanus","Entity.Organization.Company",6831.17,"Unknown"
"Allen-Martin","Oceanus","Entity.Organization.LogisticsCompany",28278.42,"National and international freight forwarding"
"Allen-Montgomery","Naraliket","Entity.Organization.Company",70047.66,"Unknown"
"Allen-Peterson","Oceanus","Entity.Organization.Company",5596.67,"Unknown"
"Allen-Taylor","Mawalara","Entity.Organization.Company",37566.67,"Unknown"
"Allen-Vaughn","Oceanus","Entity.Organization.Company",13627.4,"Unknown"
"Allen-Weiss","Oceanus","Entity.Organization.Company",5246.67,"Unknown"
"Allison-Holt","Oceanus","Entity.Organization.Company",10881.6,"Unknown"
"Alvarado Inc","Imazam","Entity.Organization.Company",104166.67,"Sportswear and outerwear"
"Alvarado, Church and Lopez","Oceanus","Entity.Organization.Company",13546.67,"Unknown"
"Alvarado-Alvarez","Oceanus","Entity.Organization.FishingCompany",90266.67,"Seafood products"
"Alvarado-Hanson","Mawandia","Entity.Organization.Company",20025.06,"Packaging activities"
"Alvarez Group","Quornova","Entity.Organization.FishingCompany",24966.67,"Fresh and frozen seafood"
"Alvarez Inc","Mawalara","Entity.Organization.Company",375759.21,"Research, development, and manufacture of fiber reinforced fabrics, thermoplastic panels, and warp-knitting machines"
"Alvarez LLC","Mawalara","Entity.Organization.Company",7446.67,"Unknown"
"Alvarez PLC","Oceanus","Entity.Organization.FishingCompany",30019.58,"Fresh and frozen seafoods (mackerel, chub mackerel fillet, squid, squid ring, hairtail, pomfret, yellow croaker, bamboo shrimp, I, Q, F shrimps, white shrimp, swimming crab, raw crab meat, and others)"
"Alvarez, Edwards and Aguirre","Valtalmo","Entity.Organization.Company",8995.67,"Unknown"
"Alvarez, Fowler and Thompson","Mawalara","Entity.Organization.Company",12575.85,"Unknown"
"Alvarez, Lee and Potts","Oceanus","Entity.Organization.Company",5156.67,"Unknown"
"Alvarez, Wilkinson and Jackson","Novarctica","Entity.Organization.Company",10121.78,"Unknown"
"Alvarez-Barker","Oceanus","Entity.Organization.Company",82366.67,"Zinc and aluminum die cast hardware and components"
"Alvarez-Padilla","Oceanus","Entity.Organization.Company",14966.67,"Unknown"
"Alvarez-Rogers","Lumakari","Entity.Organization.Company",25661.31,"Specialized in processing new or used or recycled plastics resins into intermediate or final products, using the following processes: Compression molding, extrusion molding, injection molding, blow molding, and casting"
"Alvarez-Singleton","Oceanus","Entity.Organization.Company",27432.2,"Cosmetic and personal care components"
"Anderson Group","Oceanus","Entity.Organization.Company",166012.85,"Offers three main products: glycerine, sodium bicarbonate, and methanol"
"Anderson Inc","Oceanus","Entity.Organization.Company",11426.67,"Unknown"
"Anderson PLC","Azurionix","Entity.Organization.FishingCompany",16928.22,"Fishing activities"
"Anderson, Baxter and Thompson","Mawalara","Entity.Organization.Company",318511.68,"Furniture and other related home furnishings"
"Anderson, Brown and Green","Oceanus","Entity.Organization.FishingCompany",69302.1,"Seafood and other aquatic products"
"Anderson, Hart and Wood","Oceanus","Entity.Organization.Company",12266.67,"Unknown"
"Anderson, Lee and Stephens","Mawalara","Entity.Organization.Company",7267.02,"Tuna, salmon, herring, shellfish, and groundfish products; flounder fillets, cornmeal pollock strips, burger, and tuna steak; frozen halibut steaks and fancy king crabs; canned sockeye salmon and frozen sockeye; cod, pollock, rockfish, flounder and sole"
"Anderson, Patterson and Thompson","Oceanus","Entity.Organization.Company",10359.19,"Unknown"
"Anderson, Payne and Simpson","Oceanus","Entity.Organization.Company",6946.67,"Unknown"
"Anderson, Richardson and Kirk","Korvelonia","Entity.Organization.Company",139353.76,"Fish (anchovy, bluefish, butter fish, blowfish, catfish, dogfish, eel, flounder, grouper, haddock, and kingfish), roe (caviar, salmon roe, lumpfish roe, capelin roe, shad roe, and flying-fish roe), shellfish, crustacean (crab, crayfish, lobster, shrimp/prawns), mollusks (abalone, clam, cockle, conch, cuttlefish, mussel, octopus, oyster, periwinkle, snail, squid, scallop, and clam), and echinoderms (sea cucumber and sea urchin)"
"Anderson, Rodriguez and Love","Oceanus","Entity.Organization.Company",4996.67,"Unknown"
"Anderson, Rush and Davidson","Nalakond","Entity.Organization.Company",184666.67,"Electronic equipment as well as energy and body systems for the automotive sector"
"Anderson, Shepherd and Knight","Oceanus","Entity.Organization.Company",51561666.67,"Internet Protocol based networking products and services"
"Anderson, Smith and Weber","Oceanus","Entity.Organization.Company",4070759.67,"Owns and operates membership shopping warehouse clubs"
"Anderson, Taylor and Smith","Lumakari","Entity.Organization.Company",10716.67,"Unknown"
"Anderson, Valdez and Armstrong","Oceanus","Entity.Organization.Company",5636.67,"Unknown"
"Anderson, Washington and Gutierrez","Oceanus","Entity.Organization.Company",16587.18,"Unknown"
"Anderson-Brown","Oceanus","Entity.Organization.Company",18804.14,"Products that went on to become industry standard for original equipment manufacturers and end-users of the towing, vehicle recovery, fire rescue, auto transport, industrial, agricultural industries"
"Anderson-Cohen","Oceanus","Entity.Organization.Company",19884.5,"Unknown"
"Anderson-Cox","Mawalara","Entity.Organization.Company",41242.73,"Aluminum, foundry, glass, zinc, steel, insulation materials and industrial furnaces"
"Anderson-Douglas","Mawalara","Entity.Organization.Company",7986.67,"Cutlery products"
"Anderson-Fields","Oceanus","Entity.Organization.Company",14466.67,"Unknown"
"Anderson-Grant","Oceanus","Entity.Organization.LogisticsCompany",20866.67,"Safety and cargo restraint products"
"Anderson-Green","Mawalara","Entity.Organization.Company",57005.72,"Processing of aquatic, meat and agriculture products; Aquatic, meat and agriculture products"
"Anderson-Jackson","Novarctica","Entity.Organization.Company",97266.67,"Food-grade, pharmaceutical and wine-making gelatine with acid extraction TYPE A from 80 to 320 bloom in granulometries of between 4 and 100 MESH; food-grade, pharmaceutical and wine-making gelatine with alka line extraction TYPE B from 80 to 280 bloom in granulometries of between 4 and 100 MESH; gelatine in lumps TYPE A - TYPE B; instant cold-soluble gelatine TYPE A - TYPE B; gelatine in platinum - gold - silver leaf; hydrolysed cold-soluble TYPE A and TYPE B gelatine; flavoured gelatine; liquid TYPE A and TYPE B gelatine in various concentrations; and technical gelatines"
"Anderson-Miller","Oceanus","Entity.Organization.Company",5397.27,"Unknown"
"Anderson-Murphy","Oceanus","Entity.Organization.Company",12057.37,"Unknown"
"Anderson-Owens","Oceanus","Entity.Organization.Company",23944.7,"General line of grocery products such as baked goods, beverages, candy, canned foods, dry goods, tea, coffee, spices, sugar, flour, fresh fruit, dairy, eggs and vegetables, meat, fish, poultry, seafood, and frozen and processed foods"
"Anderson-Reed","Oceanus","Entity.Organization.Company",22966.67,"Unknown"
"Anderson-Roberts","Valtalmo","Entity.Organization.FishingCompany",33526.7,"Seafood products"
"Anderson-Roman","Novarctica","Entity.Organization.Company",15766.67,"Dies, dieholders, templates, shapes for machines. Its machines and furnaces include IÂ° Series, IIÂ° Series, IIIÂ° Series, IVÂ° Series, Gravity, and Ladles; Ancillary Equipment such as De-sprueing machines, De-burring machines, De-flashing machines, Drilling machines, and Automation; Provides dies including Core Boxes, Low Pressure Dies, Gravity casting"
"Anderson-Rosario","Mawalara","Entity.Organization.Company",38218.16,"Fish and sea food products"
"Anderson-Ruiz","Mawalara","Entity.Organization.Company",4746.67,"Unknown"
"Anderson-Sawyer","Faraluna","Entity.Organization.Company",8736.67,"Unknown"
"Anderson-Scott","Lumakari","Entity.Organization.Company",23739782.31,"D"
"Anderson-Simpson","Isla Solmar","Entity.Organization.Company",8453.39,"Unknown"
"Anderson-Singh","Oceanus","Entity.Organization.Company",5006.67,"Unknown"
"Andrade and Sons","Mawalara","Entity.Organization.Company",83066.67,"Specialises in metal rebuilding, emergent repair, high temperature sealing, and repair putties; wear resistant, low friction, and erosion resistant coatings; adhesives for precision fittings; structure and rubber bonding, anaerobic structure, cyanoacrylate, anaerobic retaining, UV structure, polyurethane, and modified silane adhesives; anaerobic thread lockers; anaerobic and silicone flanges, anaerobic threads, polyurethane, and modified silane sealants; and accessories, and dispensing robots and tools"
"Andrade, Edwards and Dominguez","Oceanus","Entity.Organization.Company",13498.68,"Unknown"
"Andrade-Bernard","Mawalara","Entity.Organization.Company",6679.24,"Unknown"
"Andrade-Watson","Yggdrasonia","Entity.Organization.LogisticsCompany",33526.7,"Logistics services, including contract warehousing, public warehousing, and transportation services"
"Andrews Group","Oceanus","Entity.Organization.Company",16426.27,"Unknown"
"Andrews Inc","Oceanus","Entity.Organization.Company",10506.24,"Unknown"
"Andrews, Becker and Hale","Oceanus","Entity.Organization.Company",6326.67,"Unknown"
"Andrews-Davis","Isla Solmar","Entity.Organization.FishingCompany",57969.32,"Fish and other seafood"
"Andrews-Keller","Oceanus","Entity.Organization.Company",40339.35,"Unknown"
"Andrews-Walters","Mawalara","Entity.Organization.Company",11078.57,"Fruit and vegetable juice and juice drinks (fruit juices, fruit nectars, fruit juice concentrates, vegetable juices, thickened juices, strawberry puree, apricot puree, peach puree, apple puree, pear puree, kiwi puree, and hawthorn puree)"
"Anthony Ltd","Quornova","Entity.Organization.Company",229666.67,"Activities of transport agencies"
"Anthony, Howe and Gonzalez","Naraliket","Entity.Organization.Company",15098.2,"Unknown"
"ArawakCharter Boat Transit Plc","Oceanus","Entity.Organization.LogisticsCompany",15940.82,"Premium charter boat and cruise services."
"ArawakFish Cargo Ges.m.b.H.","Nalakimani","Entity.Organization.Company",115233.54,"Fish and seafood products"
"Archer PLC","Mawalara","Entity.Organization.Company",34566.67,"Clothing and footwear"
"Archer and Sons","Isla Solmar","Entity.Organization.Company",11333.24,"Unknown"
"Archer, Baker and Cruz","Oceanus","Entity.Organization.Company",15266.67,"Fine Middle Eastern, Iranian, Greek, Armenian, Russian, and Mediterranian delicatessen, food products, cultural gifts, souvenirs, specialty kitchen and houseware products"
"Archer-Johnson","Oceanus","Entity.Organization.Company",6096.67,"Unknown"
"Arellano Group","Oceanus","Entity.Organization.FishingCompany",39994.67,"Fishmeals and preserved aquatic products; Sardines, salted fish, smoked and marinated fish, fish fillets, dried seafoods, and sweet and sour marine products"
"Arellano, Hill and Leon","Naraliket","Entity.Organization.Company",4887.16,"Unknown"
"Arias, Barnes and Armstrong","Lumakari","Entity.Organization.Company",32666.67,"Bread and other bakery products"
"Arias, Henry and Hoffman","Oceanus","Entity.Organization.Company",45720.77,"Retails a general line of new men, women, boys and infant clothing, including maternity wear"
"Arias, Thomas and Martin","Mawalara","Entity.Organization.Company",32653.32,"Ductile iron products"
"Arias-Thomas","Faraluna","Entity.Organization.Company",4786.67,"Unknown"
"Armstrong PLC","Mawandia","Entity.Organization.Company",7534879.5,"Information Equipment, Optics, Medical and Graphic, Measuring Machine, and Photo Imaging"
"Armstrong and Sons","Lumakari","Entity.Organization.Company",7886.67,"Unknown"
"Armstrong, Bennett and Deleon","Oceanus","Entity.Organization.Company",106160.69,"Pool and spa parts distributor; Pool accessories, toys and games, handrails, spa accessories, spa cover lift assembly, air blowers & injectors, air blower accessories, heater assemblies, heater manifolds, heater parts, pump baskets, skimmer baskets, circuit boards, sensors circuit board, controls, feeders, ozonators, uv generators, water treatment, water testing, filters, cartridge, and filters"
"Armstrong, Contreras and Lee","Brindisola","Entity.Organization.FishingCompany",46473.1,"Marine, aquaculture, and other processed seafood products"
"Armstrong, Daniel and Ray","Isla Solmar","Entity.Organization.Company",38311.74,"Olive oil"
"Armstrong, Taylor and Gray","Mawalara","Entity.Organization.Company",19767.57,"Angle grinders, electric drills, circular saws, orbital saners, paint mixers, dust blowers, and other products"
"Armstrong-Hernandez","Isla Solmar","Entity.Organization.FishingCompany",40365.95,"Fish, seafood, and related products"
"Armstrong-Richards","Orvietola","Entity.Organization.Company",50666.67,"Specializing in production of chromium metal (lumps and powder) and chromium briquettes degassed"
"Arnold Ltd","Oceanus","Entity.Organization.Company",8618.67,"Unknown"
"Arnold, Montgomery and Doyle","Oceanus","Entity.Organization.Company",20256.69,"Albacore, Alfonsino, Barramundi, Bass, Black Cod, Blue Cod, Bluenose, Caviar, Flounder, Groper, Gurnard, John Dory, Kingfish, Ling  Kingclip, Lobster, Mahi, Ocean Trout, Opah  Moonfish, Orange Roughy, Perch, Salmon, Scampi, Scorpion, Seabass, Shellfish, Snapper, Swordfish, Tarakihi, Trevally, Tuna, Turbot, Wahoo  Ono [source: freelance researcher]"
"Arnold, Paul and Adams","Oceanus","Entity.Organization.Company",16170.51,"Unknown"
"Arnold, Ramirez and Franklin","Lumakari","Entity.Organization.Company",505878.21,"A vegetable two-piece hard-shell capsule with the locking system made from hypermellose; A two-piece hard-shell capsules with the locking system made from gelatin derived from fish; low powder retention CAPS, which are used to deliver medicinal powders to the human lung using an inhaler device; and SLS-Free capsules, which are produced without using sodium lauryl sulfate for dietary applications"
"Arnold, Thompson and Williams","Oceanus","Entity.Organization.Company",91666.67,"Beauty supply products, general merchandise, and wet products"
"Arnold, Williams and Jarvis","Oceanus","Entity.Organization.Company",32166.67,"Unknown"
"Arnold-Davis","Imazam","Entity.Organization.FishingCompany",62152.78,"Fish and seafood products"
"Arroyo and Sons","Lumakari","Entity.Organization.Company",4926.67,"Unknown"
"Arroyo-Stephenson","Faraluna","Entity.Organization.Company",17366.67,"Unknown"
"Ashley and Sons","Naraliket","Entity.Organization.Company",6848.78,"Unknown"
"Ashley-Johnston","Isla Solmar","Entity.Organization.Company",6985.12,"Consumer goods"
"Atkins-Black","Mawalara","Entity.Organization.Company",5921.17,"Unknown"
"Atkins-Meyers","Mawalara","Entity.Organization.Company",5416.67,"Unknown"
"Atkins-Smith","Osterivaria","Entity.Organization.Company",13466.67,"Paints, varnishes, lacquers, enamels and allied products"
"Atkinson Ltd","Novarctica","Entity.Organization.Company",169874.89,"Holding company"
"Austin, Davis and Walker","Quirinelle","Entity.Organization.Company",3206034.96,"Electrical machines and drives"
"Austin, Reynolds and Jenkins","Faraluna","Entity.Organization.Company",14459.62,"Canned fruit season, canned vegetables and canned seafood"
"Austin-Arellano","Mawalara","Entity.Organization.Company",6766.67,"Unknown"
"Austin-Stephens","Quirinelle","Entity.Organization.Company",2807549.09,"Equipment that crushes, screens, grinds, processes, enriches, and recycles mineral products"
"Austin-Sutton","Arvaros","Entity.Organization.LogisticsCompany",678551.15,"Transportation of freight on all inland waterways, including intracoastal waterways"
"Avery Inc","Imazam","Entity.Organization.Company",4981.87,"Unknown"
"Avery-Adams","Mawalara","Entity.Organization.Company",4906.67,"Unknown"
"Avery-Cohen","Oceanus","Entity.Organization.FishingCompany",24366.67,"Scallops and other seafood"
"Avery-Shannon","Oceanus","Entity.Organization.Company",9346.67,"Unknown"
"Avila Group","Isla Solmar","Entity.Organization.Company",8156.67,"Unknown"
"Avila, Williams and Hunt","Oceanus","Entity.Organization.Company",5156.67,"Unknown"
"Avila-Clark","Oceanus","Entity.Organization.Company",9166.67,"Unknown"
"Avila-Washington","Oceanus","Entity.Organization.Company",8026.67,"Unknown"
"Ayala, Baker and Bowman","Oceanus","Entity.Organization.Company",5441.51,"Unknown"
"Ayala, Brown and Hughes","Korvelonia","Entity.Organization.Company",5556.67,"Unknown"
"Ayala, Johnson and Cook","Oceanus","Entity.Organization.Company",5636.67,"Unknown"
"Ayala, Mayo and Houston","Lumakari","Entity.Organization.Company",133371.81,"Synthetic leather, textile products, automobile interior decoration, and chemical products"
"Ayala, Scott and Mcdonald","Yggdrasonia","Entity.Organization.Company",18723.96,"Wild caviar, and other species of sturgeon from other sources, and other fish roe specialties such as salmon roe, trout, and other delicacies including king crab, foie gras, smoked salmon and sturgeon, saffron, truffles, others"
"Ayala-Cobb","Osterivaria","Entity.Organization.Company",62435.55,"Fresh produce, cheese, milk & eggs, fresh and frozen beef & veal, fresh and frozen pork & lamb, fresh and frozen poultry, fresh and frozen poultry, fresh and frozen seafood, fruit salad, prepared salads, hors d' oeuvres, coffee, tea, hot chocolate, frozen juice, can/bottle juice, water soda, bread, pizza, pizza dough, cakes, cookie, pastries, pies, dessert mixes, dry pasta, frozen pasta, canned soup, canned potatoes, French fries, hashbrowns, pot pancake, dry potato mixes, baking supplies, bar supplies, condiments, cereal, dressings, canned fish, sauces, glazes, oils, shortening, pickles, olives, rice, beans, snack food, spices, alum pans, foils, bags, cleaning supply, detergents, cups, lids, disposables, equipment, plates, trays, bowls, towels, napkins, tissue, and waxes and film"
"Ayala-Grant","Oceanus","Entity.Organization.Company",27866.67,"Dog and cat food"
"Ayers, Jacobson and Wright","Nalakond","Entity.Organization.FishingCompany",70165.62,"Tuna, sword fish, bass, trout, and salmon, as well as offers shellfish, mollusks, crustaceans, sea vegetables, shrimp, lobster, squid, oysters, crabs, and clams, and other related seafood products"
