"Customer","Article.Code","Purchase.Index","Document.Date","Time.Diff"
1001151,"AEY9010003",2,2023-02-01,405
1001151,"AMFW010000",1,2023-02-01,NA
1001151,"AX10010000",1,2023-03-03,NA
1001151,"VN5T010000",1,2023-03-03,NA
1001151,"VN6J010000",1,2023-03-03,NA
1001168,"A2K6010000",1,2022-09-16,NA
1001168,"AMFR010000",1,2022-09-16,NA
1001168,"AW9C010000",1,2022-09-16,NA
1001168,"AWK8010000",1,2022-09-16,NA
1001168,"VMNW010000",1,2022-09-16,NA
1001168,"VMYJ010000",1,2022-09-16,NA
1001169,"AWK7010000",1,2022-04-26,NA
1001242,"A14G010000",1,2022-01-23,NA
1001242,"A14H01J000",1,2022-01-23,NA
1001242,"AMFW010000",1,2022-01-23,NA
1001242,"AVHSG0240",1,2022-09-10,NA
1001242,"AMFW010000",2,2023-04-18,450
1001242,"AY5C010000",1,2023-04-18,NA
1001242,"VP7P010000",1,2023-04-18,NA
1001243,"AMFR010000",1,2023-01-02,NA
1001243,"AWK7010000",1,2023-01-02,NA
1001284,"A3TX010000",1,2022-04-17,NA
1001284,"A8AL010000",1,2022-04-17,NA
1001284,"AMFW010000",1,2022-04-17,NA
1001284,"A3TX010000",2,2023-01-28,286
1001284,"A8AL010000",2,2023-01-28,286
1001284,"AM0L010000",1,2023-01-28,NA
1001312,"AWK7010000",1,2022-03-25,NA
1001312,"AX10010000",1,2022-03-25,NA
1001312,"AMFR010000",1,2022-10-29,NA
1001312,"AW9A010000",1,2022-10-29,NA
1001312,"AWK7010000",2,2022-10-29,218
1001312,"AWK7010000",3,2023-05-27,210
1001323,"AVHSG0260",1,2022-01-16,NA
1001323,"AX11010000",1,2022-01-16,NA
1001323,"AWLE010000",1,2023-04-04,NA
1001359,"AVHSG0244",1,2023-02-13,NA
1001359,"AVHSG0322",1,2023-02-13,NA
1001371,"A409010000",1,2022-01-08,NA
1001379,"AMFW010000",1,2022-01-09,NA
1001379,"AVHSG0217",1,2022-01-09,NA
1001379,"AWK7010000",1,2022-01-09,NA
1001408,"A0RF010000",1,2022-08-02,NA
1001408,"AR3F010000",1,2022-08-02,NA
1001420,"AWK7010000",1,2021-11-29,NA
1001420,"AX14010000",1,2021-11-29,NA
1001448,"A3K4010000",1,2022-05-27,NA
1001448,"A3K4010000",2,2023-02-25,274
1001448,"AX10010000",1,2023-04-14,NA
1001448,"A3K4010000",3,2023-07-21,146
1001448,"AX18010000",1,2023-07-21,NA
1001460,"AMFR010000",1,2022-10-13,NA
1001460,"AWK7010000",1,2022-10-13,NA
1001472,"ANLF010000",1,2022-03-05,NA
1001481,"AX10010000",1,2022-05-07,NA
1001481,"AX14010000",1,2022-05-07,NA
1001481,"AEY9010003",1,2022-10-23,NA
1001481,"AX11010000",1,2022-10-23,NA
1001481,"AX15010000",1,2022-10-23,NA
1001481,"AX18010000",1,2022-10-23,NA
1001481,"AW9A010000",1,2023-03-15,NA
1001481,"AX18010000",2,2023-03-15,143
1001481,"AVHSG0216",1,2023-07-02,NA
1001506,"AVHSG0267",1,2021-10-10,NA
1001506,"AMFT010000",1,2022-07-07,NA
1001506,"AWLE010000",1,2022-07-07,NA
1001516,"AWK8010000",1,2023-05-17,NA
1001540,"AX09010000",1,2022-05-25,NA
1001542,"AVHSG0320",1,2022-06-11,NA
1001555,"AMFR010000",1,2023-07-11,NA
1001555,"AX18010000",1,2023-07-11,NA
1001577,"A24N010000",1,2023-03-19,NA
1001577,"A6HL010000",1,2023-03-19,NA
1001577,"AHX0010000",1,2023-03-19,NA
1001577,"AX10010000",1,2023-03-19,NA
1001614,"A0RF010000",1,2022-01-10,NA
1001614,"AMFT010000",1,2022-01-10,NA
1001614,"AWK7010000",1,2022-01-10,NA
1001657,"A09A700000-1",1,2022-06-18,NA
1001699,"A3TX010000",1,2022-05-09,NA
1001699,"AMF5010000",1,2022-05-09,NA
1001712,"AX14010000",1,2021-08-01,NA
1001712,"AVHSG0217",1,2021-11-07,NA
1001712,"AWLE010000",1,2021-11-07,NA
1001712,"AX14010000",2,2021-11-07,98
1001720,"AKCJ010000",1,2021-12-02,NA
1001720,"AKCJ010000",2,2021-12-03,1
1001732,"AHGT010000",1,2021-12-21,NA
1001736,"A3K4010000",1,2023-06-22,NA
1001736,"AMFR010000",1,2023-06-22,NA
1001754,"A2XA010000",1,2021-09-24,NA
1001754,"AEY9010003",1,2021-09-24,NA
1001754,"AR5X010000",1,2021-09-24,NA
1001754,"AR61010000",1,2021-09-24,NA
1001754,"AR61010000",2,2021-12-09,76
1001754,"AMFR010000",1,2022-05-15,NA
1001754,"AR5Y010000",1,2022-05-15,NA
1001754,"VN1N010000",1,2022-05-15,NA
1001766,"AWK7010000",1,2021-08-11,NA
1001766,"AX0E010000",1,2021-08-11,NA
1001766,"AX18010000",1,2021-08-11,NA
1001766,"A14G010000",1,2021-11-09,NA
1001766,"AVHSG0216",1,2021-11-09,NA
1001766,"AVHSG0240",1,2021-11-09,NA
1001792,"A3JX010000",1,2021-12-31,NA
1001840,"A09A700000-1",1,2022-03-08,NA
1001840,"A24N010000",1,2022-03-08,NA
1001840,"A24N010000",2,2022-03-24,16
1001840,"A3K4010000",1,2022-03-24,NA
1001840,"AE4K010000",1,2022-04-07,NA
1001840,"AE4K010000",2,2022-05-18,41
1001840,"AE4K010000",3,2022-06-15,28
1001840,"A24N010000",3,2022-07-14,112
1001840,"A24N010000",4,2022-08-06,23
1001840,"A24N010000",5,2022-08-07,1
1001840,"A24N010000",6,2022-09-03,27
1001840,"A24N010000",7,2022-10-03,30
1001840,"A24N010000",8,2022-10-23,20
1001840,"AE4K010000",4,2022-12-30,198
1001840,"A24N010000",9,2023-01-28,97
1001840,"AE4K010000",5,2023-02-04,36
1001840,"AVHSG0389",1,2023-02-11,NA
1001840,"AWK7010000",1,2023-02-11,NA
1001840,"AE4K010000",6,2023-03-06,30
1001871,"VMR0010000",1,2022-12-14,NA
1001882,"VN5M010000",1,2023-07-23,NA
1001882,"VN5T010000",1,2023-07-23,NA
1001882,"VN6J010000",1,2023-07-23,NA
1001899,"AX0F010000",1,2021-10-09,NA
1001899,"AX0F010000",2,2022-04-23,196
1001928,"AVHSG0292",1,2022-02-12,NA
1001928,"AVHSG0292",2,2022-05-22,99
1001928,"AVHSG0292",3,2022-05-22,0
1001928,"AYFM010000",1,2022-07-02,NA
1001928,"AMY5010000",1,2022-11-18,NA
1001928,"AYFM010000",2,2023-03-22,263
1001940,"AVHSG0216",1,2021-12-16,NA
1001940,"AW9T010000",1,2021-12-16,NA
1001953,"AAF8010000",1,2022-01-03,NA
1001953,"AMF5010000",1,2022-01-03,NA
1001953,"AW9A010000",1,2022-01-03,NA
1001953,"AW9G010000",1,2022-01-03,NA
1001953,"VMJ5010000",1,2022-01-03,NA
1001953,"VN5M010000",1,2023-03-16,NA
1001953,"VN5T010000",1,2023-03-16,NA
1001953,"VN60010000",1,2023-03-16,NA
1001953,"VN63010000",1,2023-03-16,NA
1001953,"VN6J010000",1,2023-03-16,NA
1001953,"AX09010000",1,2023-04-27,NA
1001953,"AX10010000",1,2023-04-27,NA
1001953,"AX14010000",1,2023-04-27,NA
1001953,"AX1A010000",1,2023-04-27,NA
1001996,"AAF3010000",1,2021-11-12,NA
1001996,"VNJ6010001",1,2022-11-05,NA
1001996,"AMET010000",1,2023-04-24,NA
1001998,"A139010000",1,2022-03-12,NA
1001998,"AYCK010000",1,2022-03-12,NA
1001998,"AW9C010000",1,2022-08-27,NA
1002053,"AKCJ010000",1,2021-09-27,NA
1002053,"ARM4010000",1,2021-09-27,NA
1002054,"AX18010000",1,2021-09-26,NA
1002054,"AVHSG0216",1,2021-11-23,NA
1002054,"AW9A010000",1,2021-11-23,NA
1002054,"AVHSG0217",1,2022-01-18,NA
1002054,"AWGM010000",1,2022-01-18,NA
1002054,"AVHSG0217",2,2022-03-16,57
1002054,"AWK7010000",1,2022-03-16,NA
1002054,"AW9A010000",2,2022-05-06,164
1002076,"AMFW010000",1,2023-05-27,NA
1002077,"AEY9010003",1,2022-12-08,NA
1002077,"AR5L010000",1,2022-12-08,NA
1002077,"A24N010000",1,2023-06-13,NA
1002077,"AR5L010000",2,2023-06-13,187
1002087,"AEY9010003",1,2022-05-07,NA
1002087,"AWK8010000",1,2022-05-07,NA
1002087,"AXFA010000",1,2022-05-07,NA
1002087,"A09A700000-1",1,2022-05-24,NA
1002087,"AR5X010000",1,2022-06-02,NA
1002087,"AMFR010000",1,2022-06-06,NA
1002087,"AW9G010000",1,2022-06-06,NA
1002087,"AR3F010000",1,2023-01-02,NA
1002087,"AR5X010000",2,2023-01-02,214
1002087,"AW9R010000",1,2023-01-02,NA
1002119,"AR3C010000",1,2022-05-20,NA
1002119,"AR3C010000",2,2022-06-02,13
1002119,"AR3C010000",3,2022-12-21,202
1002119,"VNJ6010001",1,2022-12-21,NA
1002135,"AWLC010000",1,2021-08-11,NA
1002135,"AX10010000",1,2021-08-11,NA
1002135,"AX14010000",1,2022-06-28,NA
1002135,"AVHSG0244",1,2022-11-17,NA
1002135,"AWK7010000",1,2022-11-17,NA
1002135,"AMFR010000",1,2023-03-30,NA
1002135,"AX0E010000",1,2023-03-30,NA
1002140,"AVHSG0244",1,2021-11-27,NA
1002273,"A14G010000",1,2021-11-06,NA
1002273,"AVHSG0240",1,2021-11-06,NA
1002273,"A14G010000",2,2022-06-11,217
1002273,"VMNW010000",1,2023-01-14,NA
1002275,"AR5Y010000",1,2022-08-04,NA
1002275,"AWK7010000",1,2022-08-04,NA
1002275,"AX1A010000",1,2022-08-04,NA
1002275,"VMJN010000",1,2022-08-04,NA
1002280,"AMF5010000",1,2022-05-02,NA
1002280,"AMF7010000",1,2022-05-02,NA
1002280,"AMFH010000",1,2022-05-02,NA
1002280,"AMFW010000",1,2022-05-02,NA
1002280,"AR5K010000",1,2022-05-02,NA
1002280,"AX10010000",1,2022-05-02,NA
1002282,"A3TX010000",1,2022-06-21,NA
1002312,"AX09010000",1,2022-10-11,NA
1002312,"VMPE010000",1,2022-10-11,NA
1002312,"A7RX010000",1,2023-02-09,NA
1002312,"AW9G010000",1,2023-02-09,NA
1002348,"AMFR010000",1,2021-09-24,NA
1002348,"A09A700000-1",1,2022-11-24,NA
1002348,"AMFR010000",2,2022-11-24,426
1002348,"AX10010000",1,2022-11-24,NA
1002348,"AX14010000",1,2022-11-24,NA
1002348,"AMFR010000",3,2023-07-15,233
1002380,"A14G010000",1,2021-10-16,NA
1002380,"AG5G010000",1,2021-10-16,NA
1002380,"AR5K010000",1,2022-05-08,NA
1002380,"AR5N010000",1,2022-05-08,NA
1002380,"AR5K010000",2,2022-06-05,28
1002380,"AR5N010000",2,2022-06-05,28
1002380,"AR5K010000",3,2022-07-21,46
1002380,"AR5N010000",3,2022-08-06,62
1002380,"AMF5010000",1,2022-08-08,NA
1002395,"AMFW010000",1,2022-03-17,NA
1002395,"AMFW010000",2,2022-04-21,35
1002395,"AMFW010000",3,2022-05-01,10
1002395,"AVHSG0292",1,2022-07-30,NA
1002400,"AR5Y010000",1,2022-03-27,NA
1002400,"AX18010000",1,2022-03-27,NA
1002400,"AX11010000",1,2022-06-06,NA
1002400,"AX18010000",2,2022-06-06,71
1002412,"A3TL010000",1,2022-12-19,NA
1002412,"AMF7010000",1,2022-12-19,NA
1002422,"AVHSG0265",1,2021-12-30,NA
1002423,"AMF5010000",1,2022-07-31,NA
1002423,"AY5C010000",1,2023-06-07,NA
1002423,"VN60010000",1,2023-06-07,NA
1002430,"AVHSG0252",1,2021-09-09,NA
1002430,"AX18010000",1,2021-09-09,NA
1002434,"A3GT010000",1,2023-03-29,NA
1002434,"VP2R010001",1,2023-03-29,NA
1002441,"AR5X010000",1,2021-12-06,NA
1002441,"VMRP010000",1,2021-12-06,NA
1002452,"A3JY010000",1,2022-07-06,NA
1002452,"AKCH010000",1,2022-07-06,NA
1002452,"AMFT010000",1,2022-07-06,NA
1002452,"AWK8010000",1,2022-07-06,NA
1002452,"AX09010000",1,2022-07-06,NA
1002452,"AKCH010000",2,2022-10-31,117
1002452,"AR5X010000",1,2022-10-31,NA
1002452,"A09A700000-1",1,2023-05-19,NA
1002452,"A0RF010000",1,2023-05-19,NA
1002452,"A2XA010000",1,2023-05-19,NA
1002452,"A6HL010000",1,2023-05-19,NA
1002452,"AE4K010000",1,2023-05-19,NA
1002452,"AEY9010004",1,2023-05-19,NA
1002452,"AMFT010000",2,2023-05-19,317
1002452,"AR5Y010000",1,2023-05-19,NA
1002452,"AWK8010000",2,2023-05-19,317
1002452,"AX11010000",1,2023-05-19,NA
1002452,"AX15010000",1,2023-05-19,NA
1002452,"VMJN010000",1,2023-05-19,NA
1002465,"AEY9010003",1,2021-09-05,NA
1002465,"AMFT010000",1,2021-09-05,NA
1002465,"AWK8010000",1,2021-09-05,NA
1002467,"AVHSG0265",1,2023-05-06,NA
1002467,"VMNT010000",1,2023-05-06,NA
1002500,"AKCH010000",1,2021-08-31,NA
1002500,"AKCJ010000",1,2021-08-31,NA
1002506,"A09A700000-1",1,2021-08-08,NA
1002506,"A24N010000",1,2021-08-08,NA
1002522,"AW9L010000",1,2022-08-09,NA
1002522,"AWK7010000",1,2022-08-09,NA
1002548,"AEC0010000",1,2021-10-04,NA
1002548,"AR5K010000",1,2021-10-04,NA
1002548,"AW5L010000",1,2021-10-04,NA
1002564,"AVHSG0240",1,2022-02-04,NA
1002564,"AX0E010000",1,2022-02-04,NA
1002564,"AX18010000",1,2022-02-04,NA
1002567,"AEY9010003",1,2021-12-18,NA
1002567,"AMFR010000",1,2021-12-18,NA
1002567,"AR5X010000",1,2021-12-18,NA
1002567,"AVHSG0216",1,2021-12-18,NA
1002567,"AWLC010000",1,2021-12-18,NA
1002567,"AX10010000",1,2021-12-18,NA
1002567,"AX14010000",1,2021-12-18,NA
1002567,"VMRP010000",1,2021-12-18,NA
1002582,"A14G010000",1,2022-02-24,NA
1002582,"A46M010000",1,2022-05-03,NA
1002582,"AX18010000",1,2022-05-03,NA
1002582,"A46M010000",2,2023-06-22,415
1002582,"A8AL010000",1,2023-06-22,NA
1002620,"AVHSG0217",1,2022-01-11,NA
1002633,"A3TX010000",1,2022-06-06,NA
1002637,"A0RF010000",1,2021-11-11,NA
1002637,"A3GR010000",1,2021-11-11,NA
1002637,"AWGM010000",1,2021-11-11,NA
1002638,"ANLF010000",1,2022-10-16,NA
1002649,"AMFW010000",1,2022-08-06,NA
1002649,"AVHSG0362",1,2022-08-06,NA
1002727,"A3TL010000",1,2022-12-16,NA
1002727,"AMF5010000",1,2022-12-16,NA
1002727,"AMFH010000",1,2022-12-16,NA
1002727,"A3TP010000",1,2023-01-28,NA
1002727,"AEY9010003",1,2023-01-28,NA
1002727,"AMF5010000",2,2023-01-28,43
1002727,"AWK8010000",1,2023-01-28,NA
1002727,"AR5L010000",1,2023-04-16,NA
1002727,"VN5M010000",1,2023-04-16,NA
1002727,"VN60010000",1,2023-04-16,NA
1002789,"AWK7010000",1,2021-09-05,NA
1002805,"AX11010000",1,2022-09-09,NA
1002805,"AX14010000",1,2022-09-09,NA
1002828,"AVHSG0240",1,2022-01-09,NA
1002843,"A09A700000-1",1,2022-07-18,NA
1002843,"ANLF010000",1,2022-07-18,NA
1002843,"AVHSG0240",1,2022-07-18,NA
1002843,"AAF8010000",1,2022-07-23,NA
1002854,"AR5Y010000",1,2021-11-11,NA
1002903,"A2K4010000",1,2021-08-02,NA
1002903,"A2K5010000",1,2021-08-02,NA
1002903,"A409010000",1,2021-08-02,NA
1002903,"VMYJ010000",1,2023-07-16,NA
1002903,"VP2W010000",1,2023-07-16,NA
1002906,"AX10010000",1,2022-05-02,NA
1002906,"AX14010000",1,2022-05-02,NA
1002947,"A24N010000",1,2021-12-31,NA
1002947,"AE4K010000",1,2021-12-31,NA
1002947,"AMFW010000",1,2021-12-31,NA
1002947,"AX09010000",1,2021-12-31,NA
1002947,"AX14010000",1,2021-12-31,NA
1003054,"A3TX010000",1,2023-03-03,NA
1003067,"AMFW010000",1,2021-10-18,NA
1003073,"AR3C010000",1,2023-05-12,NA
1003073,"AR5X010000",1,2023-05-12,NA
1003154,"AVHSG0265",1,2021-09-12,NA
1003154,"A3TL010000",1,2021-12-18,NA
1003154,"A3TP010000",1,2021-12-18,NA
1003202,"VMPL010000",1,2023-07-23,NA
1003202,"VMPP010000",1,2023-07-23,NA
1003203,"A2XA010000",1,2022-08-02,NA
1003249,"AW9C010000",1,2021-08-04,NA
1003249,"AW9H010000",1,2021-08-04,NA
1003249,"AW9M010000",1,2021-08-16,NA
1003249,"AW9T010000",1,2021-08-16,NA
1003249,"A14Y010000",1,2021-11-21,NA
1003249,"A15101J000",1,2021-11-21,NA
1003249,"AW9C010000",2,2021-11-23,111
1003249,"AW9H010000",2,2021-11-23,111
1003249,"AR5P010000",1,2022-04-22,NA
1003249,"AEY9010003",1,2022-06-26,NA
1003249,"AEY9010003",2,2023-01-04,192
1003249,"AR5L010000",1,2023-01-04,NA
1003249,"AR5P010000",2,2023-01-04,257
1003249,"AVHSG0217",1,2023-01-29,NA
1003249,"AVHSG0389",1,2023-01-29,NA
1003279,"AR5L010000",1,2021-10-10,NA
1003279,"AVHSG0266",1,2021-10-10,NA
1003298,"AW9A010000",1,2023-03-29,NA
1003298,"AX18010000",1,2023-03-29,NA
1003313,"AR3F010000",1,2022-03-27,NA
1003313,"AVHSG0205",1,2022-03-27,NA
1003313,"AVHSG0277",1,2022-03-27,NA
1003313,"AWGM010000",1,2022-03-27,NA
1003330,"AMET010000",1,2022-05-27,NA
